timestamp,message,direction,speed,gross
1577836801812,8072,coming,8000,130872880
1577836801812,8072,going,8000,130872880
1577836809390,4865,coming,8000,130872897
1577836809781,3959,coming,8000,130872898
1577836809781,3959,coming,8000,130872898
1577836812968,4865,going,8000,130872897
1577836812968,3959,going,8000,130872898
1577836812968,3959,going,8000,130872898
1577836836703,6173,coming,8000,130872958
1577836856718,8822,going,3000,130872833
1577836860812,8072,coming,8000,130873013
1577836860812,8072,going,8000,130873013
1577836861015,6173,going,8000,130872958
1577836861015,8822,coming,8000,130873013
1577836862046,4865,coming,8000,130873016
1577836862484,3959,coming,8000,130873017
1577836862484,3959,coming,8000,130873017
1577836862843,6173,coming,8000,130873017
1577836862953,6173,going,8000,130873017
1577836864000,6173,coming,8000,130873020
1577836864281,4865,going,8000,130873016
1577836864281,3959,going,8000,130873017
1577836864281,3959,going,8000,130873017
1577836884015,8822,going,8000,130873013
1577836917921,1818,coming,8000,130873142
1577836918343,1818,going,8000,130873142
1577836919812,8072,coming,8000,130873146
1577836919812,8072,going,8000,130873146
1577836925890,1818,coming,8000,130873160
1577836926312,1818,going,8000,130873160
1577836928968,1818,coming,8000,130873167
1577836929390,1818,going,8000,130873167
1577836929890,1818,coming,8000,130873169
1577836930312,1818,going,8000,130873169
1577836930734,1818,coming,8000,130873171
1577836931234,1818,going,8000,130873171
1577836934781,1818,coming,8000,130873180
1577836935187,1818,going,8000,130873180
1577836936500,1818,coming,8000,130873184
1577836936984,1818,going,8000,130873184
1577836937406,1818,coming,8000,130873186
1577836939187,1818,going,8000,130873186
1577836940484,1818,coming,8000,130873193
1577836942281,1818,going,8000,130873193
1577836948937,1818,coming,8000,130873212
1577836949828,1818,going,8000,130873212
1577836950250,1818,coming,8000,130873215
1577836950671,1818,going,8000,130873215
1577836958406,3608,coming,8000,130873233
1577836958421,3481,coming,8000,130873233
1577836958437,1339,going,3000,130872833
1577836958437,1340,coming,8000,130873233
1577836958968,2207,coming,8000,130873234
1577836969343,6368,coming,8000,130873234
1577836969343,1467,coming,8000,130873234
1577836970671,1340,going,8000,130873233
1577836970671,1467,going,8000,130873234
1577836970734,1329,going,3000,130872833
1577836970734,1328,coming,8000,130873234
1577836971687,1328,going,8000,130873234
1577836971687,1327,coming,8000,130873234
1577836972296,6367,going,3100,130872833
1577836972296,3608,going,8000,130873233
1577836972296,6366,coming,7800,130873234
1577836972625,6368,going,8000,130873234
1577836978812,8072,coming,4800,130873234
1577836978812,8072,going,4800,130873234
1577836980171,3481,going,8000,130873233
1577836985593,6366,going,7800,130873234
1577836986656,2207,going,8000,130873234
1577836993765,6368,coming,3000,130873234
1577837004265,6173,going,8000,130873020
1577837013296,2745,coming,3000,130873234
1577837013328,1338,coming,3000,130873234
1577837013359,8822,coming,3000,130873234
1577837013375,1327,going,8000,130873234
1577837013375,1329,coming,3000,130873234
1577837014421,2745,going,3000,130873234
1577837018531,6368,going,3000,130873234
1577837020765,1338,going,3000,130873234
